id,Intensity,MedianWaveNumber,scoville_median
Anah,425,0.00719511,1500
Anah,426,0.00718454,1500
Anah,427,0.00716075,1500
Anah,428,0.007173,1500
Anah,429,0.00721398,1500
Anah,430,0.00725345,1500
Anah,431,0.0072615,1500
Anah,432,0.00721069,1500
Anah,433,0.00715006,1500
Anah,434,0.00710868,1500
Anah,435,0.00705393,1500
Anah,436,0.00695624,1500
Anah,437,0.00684773,1500
Anah,438,0.00679015,1500
Anah,439,0.00678803,1500
Anah,440,0.00686688,1500
Anah,441,0.00697992,1500
Anah,442,0.00707783,1500
Anah,443,0.00712904,1500
Anah,444,0.00708263,1500
Anah,445,0.00696198,1500
Anah,446,0.00685525,1500
Anah,447,0.00681262,1500
Anah,448,0.00690455,1500
Anah,449,0.00706806,1500
Anah,450,0.00720518,1500
Anah,451,0.00727667,1500
Anah,452,0.00732678,1500
Anah,453,0.00736154,1500
Anah,454,0.00740417,1500
Anah,455,0.00741884,1500
Anah,456,0.00738415,1500
Anah,457,0.0073357,1500
Anah,458,0.00729566,1500
Anah,459,0.00728717,1500
Anah,460,0.00726671,1500
Anah,461,0.00722154,1500
Anah,462,0.00713667,1500
Anah,463,0.00709208,1500
Anah,464,0.00710414,1500
Anah,465,0.007154,1500
Anah,466,0.00716519,1500
Anah,467,0.0071467,1500
Anah,468,0.00713965,1500
Anah,469,0.0071366,1500
Anah,470,0.00711417,1500
Anah,471,0.00709816,1500
Anah,472,0.00709816,1500
Anah,473,0.00713547,1500
Anah,474,0.00721256,1500
Anah,475,0.007311,1500
Anah,476,0.0073174,1500
Anah,477,0.00726393,1500
Anah,478,0.00712356,1500
Anah,479,0.00699876,1500
Anah,480,0.00693681,1500
Anah,481,0.00695328,1500
Anah,482,0.00701027,1500
Anah,483,0.00705194,1500
Anah,484,0.00708453,1500
Anah,485,0.00712199,1500
Anah,486,0.00715553,1500
Anah,487,0.00717013,1500
Anah,488,0.00713355,1500
Anah,489,0.00705769,1500
Anah,490,0.0069506,1500
Anah,491,0.00682448,1500
Anah,492,0.00676464,1500
Anah,493,0.00670617,1500
Anah,494,0.00670829,1500
Anah,495,0.00668486,1500
Anah,496,0.00671748,1500
Anah,497,0.00672688,1500
Anah,498,0.00675686,1500
Anah,499,0.00679598,1500
Anah,500,0.0068441,1500
Anah,501,0.00686582,1500
Anah,502,0.00689176,1500
Anah,503,0.00692171,1500
Anah,504,0.00696126,1500
Anah,505,0.00695236,1500
Anah,506,0.00692592,1500
Anah,507,0.0069831,1500
Anah,508,0.00711577,1500
Anah,509,0.00731081,1500
Anah,510,0.00746796,1500
Anah,511,0.00763075,1500
Anah,512,0.00779122,1500
Anah,513,0.00797735,1500
Anah,514,0.00810441,1500
Anah,515,0.00815633,1500
Anah,516,0.00816955,1500
Anah,517,0.00816886,1500
Anah,518,0.00816916,1500
Anah,519,0.00811994,1500
Anah,520,0.00806161,1500
Anah,521,0.00799844,1500
Anah,522,0.00797687,1500
Anah,523,0.00798212,1500
Anah,524,0.00798168,1500
Anah,525,0.00794168,1500
Anah,526,0.00790118,1500
Anah,527,0.00790118,1500
Anah,528,0.00794025,1500
Anah,529,0.00798012,1500
Anah,530,0.00804151,1500
