Mean,SD,SE,LowerCI,UpperCI,WaveNumber,Significant,times_selected
0.000502600363053844,0.0355392124942194,0.000502600363053844,-0.000482716812503025,0.00148791753861071,91,No,1
0,0,0,0,0,92,No,0
0,0,0,0,0,93,No,0
0,0,0,0,0,94,No,0
-0.00714550288472398,0.505263354477636,0.00714550288472398,-0.0211538228897683,0.00686281712032032,95,No,1
0,0,0,0,0,96,No,0
-0.0618516267609396,3.7681569611037,0.0532897867954344,-0.166322984267062,0.042619730745183,97,No,5
-0.0467075076138977,1.88688666416349,0.0266846071112094,-0.0990210426656916,0.00560602743789618,98,No,5
-0.0669135997103938,2.62500341757744,0.0371231543441374,-0.139691266172621,0.00586406675183386,99,No,11
-0.00362950093073209,0.256644472044354,0.00362950093073207,-0.0107449148234332,0.00348591296196904,100,No,3
-0.12624521674256,3.51531804108296,0.0497141044975434,-0.223706668483714,-0.0287837650014068,101,Yes,12
-0.0190509688440482,0.872660051658515,0.0123412768039668,-0.0432452848396921,0.00514334715159574,102,No,6
-0.100018114428391,4.28956248273029,0.0606635743972399,-0.218945330121367,0.0189091012645843,103,No,5
0,0,0,0,0,104,No,0
0,0,0,0,0,105,No,0
-0.0997535451996255,4.22638590433511,0.0597701226573319,-0.216929203572759,0.0174221131735076,106,No,3
-0.297636702741811,7.07862170029759,0.100106828114694,-0.493889997372559,-0.101383408111064,107,Yes,11
-0.988501629645794,15.3473895893663,0.217044865043054,-1.41400477113563,-0.562998488155956,108,Yes,31
-1.02661742845448,15.2057209528218,0.215041367971413,-1.4481928368566,-0.605042020052357,109,Yes,41
-1.27086360998675,16.6366187836249,0.235277319158334,-1.73211035914766,-0.809616860825834,110,Yes,60
-0.0561924949682057,1.95226698361048,0.0276092244559516,-0.110318685596006,-0.00206630434040574,111,Yes,8
-0.19281039749639,6.76238789571127,0.0956346067614253,-0.380296176549766,-0.00532461844301485,112,Yes,10
-0.328220987512573,9.24267159919371,0.130711115281404,-0.584472109458466,-0.0719698655666793,113,Yes,10
-0.435508100666126,10.6427304483788,0.150510937407785,-0.730575559105601,-0.140440642226652,114,Yes,13
-0.0241201701454122,1.49536290464883,0.0211476250042401,-0.06557879148883,0.0173384511980056,115,No,3
-0.000714450161319067,0.0437872924268716,0.000619245828096785,-0.00192844361450392,0.000499543291865789,116,No,2
-0.020247411078836,1.04644055098086,0.014798904194143,-0.0492597547892753,0.00876493263160332,117,No,2
0,0,0,0,0,118,No,0
0,0,0,0,0,119,No,0
0,0,0,0,0,120,No,0
0,0,0,0,0,121,No,0
0.00601493666943896,0.425320250736791,0.00601493666943896,-0.00577697763455073,0.0178068509734286,122,No,1
0.0046824283350955,0.331097682816607,0.0046824283350955,-0.0044971851332487,0.0138620418034397,123,No,1
0,0,0,0,0,124,No,0
0,0,0,0,0,125,No,0
0,0,0,0,0,126,No,0
-5.94033284397052e-18,4.20044963647672e-16,5.94033284397052e-18,-1.75859909253231e-17,5.70532523738205e-18,127,No,1
0,0,0,0,0,128,No,0
0,0,0,0,0,129,No,0
0,0,0,0,0,130,No,0
0,0,0,0,0,131,No,0
0,0,0,0,0,132,No,0
6.13133538991288e-18,4.33550883193646e-16,6.13133538991288e-18,-5.88877146411583e-18,1.81514422439416e-17,133,No,1
0,0,0,0,0,134,No,0
0,0,0,0,0,135,No,0
0,0,0,0,0,136,No,0
0,0,0,0,0,137,No,0
0,0,0,0,0,138,No,0
0,0,0,0,0,139,No,0
0,0,0,0,0,140,No,0
0,0,0,0,0,141,No,0
0,0,0,0,0,142,No,0
0,0,0,0,0,143,No,0
0,0,0,0,0,144,No,0
0,0,0,0,0,145,No,0
0,0,0,0,0,146,No,0
0,0,0,0,0,147,No,0
0,0,0,0,0,148,No,0
0,0,0,0,0,149,No,0
0,0,0,0,0,150,No,0
0,0,0,0,0,151,No,0
-0.000410900200237747,0.0290550317979021,0.000410900200237747,-0.00121644483270478,0.000394644432229291,152,No,1
-0.0516141561661227,3.62855155621689,0.0513154682257192,-0.152214983247354,0.0489866709151086,153,No,2
0,0,0,0,0,154,No,0
0,0,0,0,0,155,No,0
0,0,0,0,0,156,No,0
